,random_text,origin_text,label
0,Orangen 10se,Orangen lose,0 1
1,Apfel Morgana,Äpfel Morgana,1 0
2,Kiui gold Stück,Kiwi gold Stück,1 0 0
3,Kiui grün Stück,Kiwi grün Stück,1 0 0
4,teonen Stück,Zitronen Stück,1 0
5,Mandacinen lose,Mandarinen lose,1 0
6,YUM YUH NDELN,YUM YUH NUDELN,0 0 1
7,G6 WE1ZENBROETCHE,G+G WEIZENBROETCHE,1 1
8,Wonder Schnitze\,Wonder Schnitzel,0 1
9,Erdntisse 400g,Erdnüsse 400g,1 0
10,Mudernilch,Müllermilch,1
11,Bananien,Bananen,1
12,Sthweinebauch,Schweinebauch,1
13,GHG EIER/BODENH 10,G&G EIER/BODENH 10,1 0 0
14,CHiO-TORILLAS CHI,CHIO-TORILLAS CHI,1 0
15,Dürün Doner,Dürüm Doner,1 0
16,CC LIG 0 kOFF,CC LIG O kOFF,0 0 1 0
17,Suniimi-Staebchen,Surimi-Staebchen,1
18,YUM YM INSI NUDE.,YUM YUM INST. NUDE.,0 1 1 0
19,Spe isekartoffeln,Spe sekartoffeln,0 1
20,KrARTOFFELN LOSE,KARTOFFELN LOSE,1 0
21,7itronen,Zitronen,1
22,LAUCHZWTEBELN,LAUCHZWIEBELN,1
23,OM 01fven o. St,OM Oliven o. St,0 1 0 0
24,Bio-2itronen 500g,Bio-zitronen 500g,1 0
25,Red Bul1,Red Bull,0 1
26,Zwjebeln gelb,Zwiebeln gelb,1 0
27,Bio E.Hähri.keuten,Bio E.Hähn.keulen,0 1
28,Biu Knstiauct,Bio Knoblauch,1 1
29,Raffaello 230430g,Raffaello 230+30g,0 1
30,Mül.Hilchreis,Mül.Milchreis,1
31,Creapan Ptannkuch.,Creapan Pfannkuch.,0 1
32,Zuckeraais vak. 4009 UKE,Zuckermais vak. 4009 UKE,1 0 0 0
33,Lauchzuiebel St,Lauchzwiebel St,1 0
34,Nangus ST,Mangos ST,1 0
35,Hannervatteln,MannerWaffeln,1
36,Erdbeeren 500s UKE,Erdbeeren 500g VKE,0 1 1
37,GG romaten,GG Tomaten,0 1
38,Läuchzwiebein,Lauchzwiebeln,1
39,Banane hiquita Lose,Banane Chiquita Lose,0 1 0
40,Manneraffein,Mannerwaffeln,1
41,M.I. Mozzarel1a ger.,M.I. Mozzarella ger.,0 1 0
42,SG Pangasjusfilet 4759,SG Pangasiusfilet 4759,0 1 0
43,PfangkucteN frisch,Pfannkuchen frisch,1 0
44,Zuckera8is,Zuckermais,1
45,Ber1da Lachs,Berida Lachs,1 0
46,Ihunfisch in Q,Thunfisch in Öl,1 0 1
47,Bonduel1le Mais,Bonduelle Mais,1 0
48,PENNY Champ19non,PENNY Champignon,0 1
49,Avocad0 Stück,Avocado Stück,1 0
50,angnese trem1SS,Langnese Cremiss,1 1
